under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
15740,2452,3480,1864,-1019,1736,-15476,-140,-1916,-12646,-4212,5228
15600,1860,3464,2635,-826,2235,-15356,-3340,-1428,-8497,-4734,5296
15780,1532,3692,212,-1338,1972,-14932,-2792,392,-5972,-7413,3053
15504,2384,3704,2666,-1784,3937,-12952,-1928,1632,-4342,-9234,1580
16228,32,2772,2442,-1746,4941,-11384,-508,2604,-4586,-4034,2265
15228,2040,4808,997,-937,6098,-10188,-2876,1936,-7942,-1701,2847
13408,7548,20808,4308,-607,643,-9840,-2956,-4660,207,13576,1564
23820,-3640,2616,1092,2035,-10825,-14140,-3636,-2736,-4911,7598,1876
15588,-6936,3204,3000,11225,-9869,-15932,2344,-4072,2903,12452,-1021
8872,-612,-3260,428,4322,-7117,-16432,-1180,-2284,598,11730,-1429
10356,13788,18496,-6876,3728,-7052,-15004,532,-5308,2819,11639,-477
9476,6896,10996,-3401,4138,-6975,-16440,1180,480,9099,10883,-54
14808,-1144,-72,19762,-6746,2956,-20796,4164,2068,9518,-3578,264
16244,-452,96,6627,-9544,6282,-27452,-1416,-11488,-1613,-18317,9072
25836,-708,-80,10500,-4470,16103,-17408,-3012,-11124,-9027,-26878,4617
21912,12856,18648,-717,-9629,18308,-4288,3900,-1732,-13119,-10363,878
1232,11348,11492,-10802,11460,-6190,-32768,-3492,32767,-351,-26645,4695
32767,-1320,3584,3071,6642,-21784,-28492,-4900,-16476,14567,19917,-6243
9716,-17060,-11904,1110,16929,-11461,-31100,-15352,9564,-2237,25464,-6259
3640,4936,7532,3150,3189,-8229,-1680,11732,28336,-9137,4021,733
-520,-22688,-29064,11316,-21405,7942,-32768,-6252,-8044,-5953,-28656,161
32767,1504,21628,-3809,-9575,23953,-7220,-6020,-24360,-1863,-23727,3348
-500,23372,16856,-14952,-539,2749,52,10060,11928,8297,-12956,7285
32767,-9088,8976,-10806,16803,-26615,2500,7308,-19068,17605,7773,-10274
14796,-13836,-9444,-513,18545,-18455,-32768,-4456,-2192,-1822,22486,-8096
1404,1356,6420,-3726,3723,-7806,-14892,7996,21188,3472,16594,-6680
-7908,-10176,-5340,-4225,-22812,3152,-32768,-11312,-5152,-26952,-21377,-887
30492,-4097,-1,-1,-1,-1,-19472,-4580,-21220,10758,-23770,7608
32767,-16968,3356,-5243,13775,-29315,-1904,-10920,-28892,22316,12582,-9575
-1172,-20988,-12596,9130,25506,-10162,-32768,704,11712,-2304,32293,-7031
1968,20248,11384,17929,-491,-5434,-7604,5520,32767,-22426,2886,-2217
19956,-9052,-20140,32767,-10408,19263,-32768,-11524,-24408,16410,-30072,7134
32767,4176,29044,-2577,-17551,-1,9256,2828,-22432,-3251,-19416,-3494
-7248,20108,31080,-1734,4894,-7394,480,11288,6652,10501,2128,3983
32767,-18736,948,11092,8497,-29765,-32768,-5444,-32768,15060,31518,-11072
