under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
14600,2288,4860,3861,1527,4393,-5204,-3148,-5080,1754,7175,5390
14712,2032,8268,5993,3153,5926,-18092,2468,12596,-3178,-3103,3667
3108,5612,32767,-9524,-7129,-4394,-20936,-19036,-2520,-32768,-17447,-5725
27644,5580,740,-9886,-8986,-12729,-20180,-3828,-12584,10902,20955,-4885
15424,404,-8068,-4214,3694,-10489,-16968,-1164,-7992,12458,1230,-4014
7564,952,4,-12888,-1515,-4483,-12084,-3840,360,-13551,-17464,2284
12440,4032,4188,1503,5214,-6028,-15932,-5100,-104,7562,14889,-5133
8900,12320,6636,-6744,-4186,-58,-4088,-10100,32767,-15523,-5650,15351
1108,-2544,-4220,11332,509,-3051,-26328,4580,2424,-19074,5807,1398
16596,10776,-7476,10052,-17773,3015,-24484,-12936,-17496,-6867,3036,11185
32767,17612,1520,32767,32767,14257,-4600,-10368,-11552,3382,-22934,3249
-4628,20080,18552,11355,356,17008,-10204,9484,5664,-5460,32767,2130
15748,19956,8728,-10419,-17852,-14440,-6312,-32768,-29712,-31304,-4498,-12166
32256,3576,-15484,-4564,21925,-17233,-23264,544,-16640,12404,21691,-1736
-3740,536,-5440,-17212,4449,-1818,-25916,92,8720,-1439,4626,-7950
1020,5012,4928,4894,-8891,-8693,-3704,12932,10696,8756,7953,247
24348,4584,-12688,25905,-5604,-1747,-32768,-23024,-8196,9111,-3429,10564
32767,24444,14316,32767,8219,20312,6612,-9600,-16456,-1742,414,5191
-7096,16820,8648,-10093,6046,-3674,-9968,4584,16280,4975,-14506,12755
32767,2952,-3348,-23338,-32768,-13532,21056,1048,-29072,-10284,-18951,-5577
8504,-4672,-15088,-13486,4798,-6411,-32768,-10944,7524,32767,14686,-18113
7460,7960,11164,-32768,-7127,4560,-1552,13676,11200,19149,12645,-8518
-3916,4104,-17964,-27619,10485,4935,-29032,-20324,-3728,-1319,18955,5235
32767,4280,-10060,32767,28603,16952,-9568,-17216,-20088,-3164,-879,7218
-5908,21012,8916,1371,32767,14313,-3980,7100,-2256,-11919,-1034,2783
13528,15924,8752,-15682,-21544,-11676,-28,-32768,-32768,-21462,32767,-11182
32767,5572,-16768,-3433,14887,-17219,-32768,1984,-23108,1270,12044,-10563
-5164,-4772,-5856,-14516,-9442,-62,-4408,7216,26004,-28224,-32768,1711
32767,24620,32767,32767,27291,-19729,-10440,784,12132,-22241,-1843,7134
32767,4956,-21564,1503,-11980,11571,-29712,-19940,-27000,15268,12427,20252
1548,17352,8372,32767,32767,27532,14036,-508,-7304,1673,-32768,-1358
-4900,-920,20412,-13290,-13845,-11182,9788,-568,-23784,19105,29138,-6847
32767,-252,-20548,-6142,15569,-20047,-29684,-11460,-27212,-3837,-12622,-15582
-7900,-3136,-10180,-6364,-6639,-1352,-5728,-6808,32564,-3064,-32768,6692
-8540,-6464,-4408,16147,-314,-7633,-1980,-14744,15432,-32768,-19385,6670
32767,10144,-29412,5574,-13557,13507,-23164,-25348,-30876,11210,32634,23550
18416,8476,23720,21828,32767,23536,12496,-6252,-5736,-9728,-32768,-2923
-8168,-512,18080,-8749,-1338,-10549,-920,7596,-14536,32767,32767,-2066
32767,5792,-15940,-2573,-5574,-20291,-13664,-7504,-32768,-20492,-32768,4028
-7892,-7088,-9560,-12817,-1553,-279,-9724,-13412,32767,6371,-32768,6336
-4932,3196,448,8302,3063,-8050,4204,-11236,18036,-26622,-1209,6194
19772,14324,-32768,1748,-11260,8683,-32768,-19244,-27808,16711,32690,27999
16212,5512,27760,21141,32767,13585,17604,-5780,-6716,-18541,-32768,-2375
-8784,2776,18668,-4276,2090,-7388,6964,7660,-3676,32767,32767,-7754
32767,7556,-27808,2868,123,-16280,10136,-6708,-32768,-22306,-32768,8504
-12864,-10536,-9936,-7736,677,39,-8096,-5880,32767,24269,2680,-17000
-5980,10004,3500,21703,719,-9963,2880,-2704,20896,-7427,-6881,2492
-4680,-3280,-32768,8500,-16479,4234,-32768,-32768,-32768,14589,29938,13774
26588,-12712,32767,-5002,-24275,-952,14296,-7912,-9928,-19482,-32768,2509
-19084,17340,18056,-15916,12051,-17005,-1832,6784,10944,24171,32767,-2984
32767,9536,3912,5625,-32768,-18294,32767,-15740,-25060,-8787,-24799,-18822
5864,-3076,-12036,-13080,12957,-3001,-32768,-12064,19368,32767,32767,-24320
1024,2696,5712,-15242,-2348,-146,2356,16984,24844,5049,13290,159
-25048,-10116,-32768,12746,-15879,3806,-32768,-20400,-2372,552,32767,11065
32767,12036,19448,32767,-3798,17023,11112,-5448,-17048,-10637,-21464,-3901
-16872,19204,16540,-19360,17742,-19428,-12716,1456,19360,10374,13750,18070
