under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-14620,116,-8560,-3583,5147,4299,-10804,-424,4916,2151,3741,3276
-20968,-2412,-1304,-586,-3029,5062,-14500,-6480,21748,-20087,-5728,-292
-19520,2704,-13392,17687,-16072,-3592,-13616,-808,-876,8290,11702,-1172
-8156,2752,-9420,14023,-12669,-2020,-13384,2280,1976,9391,10916,-2008
-12880,1720,5788,7670,-14198,-1324,-12404,776,-6732,790,12767,-1570
-5656,4520,-24268,-4474,94,-3817,-27604,6220,-15392,3793,-10121,-352
-17740,2044,-4000,-4296,13392,6317,-13612,-10060,-14360,9724,-21332,5587
-15324,-1396,1212,-6244,14617,6538,964,2976,-17656,487,-8257,112
-14640,-1192,1820,-2090,12560,6937,-32768,-10160,32767,-32768,-32768,-10466
-26668,15124,-15380,2765,-11126,-14964,-13856,-4156,-5632,-4739,14838,-194
-6192,-2352,-7712,6301,-8670,-3139,-13224,-3324,-4280,-6466,13757,-1310
-14804,2492,5764,-28909,-1615,-879,-20628,2428,10432,1895,5635,-4540
-16996,-640,-12696,-6664,9154,-2737,-26144,3324,-15912,-10621,-20356,10030
-17220,688,-3736,-11904,11519,5472,-6732,-6684,-13280,-5671,-16472,6066
-14864,-3712,-908,-7674,12442,6581,648,-612,-14244,-208,-6858,1735
-16052,-2584,-2864,-4063,14916,7571,-1740,3904,32767,-31197,-32768,506
-2076,2120,-11496,10899,-9398,-1822,-15764,1512,580,-3822,15121,-2834
-29632,-10988,32767,21712,-22153,-304,-16384,3192,4980,-792,17154,-1170
-20424,9436,-13952,-2522,19641,3754,-31140,14024,-2056,15707,1844,2687
-16224,1828,-4724,-684,13278,5712,-25636,-13852,-19880,-4997,-17846,9463
-15032,-2040,-1560,-8486,14797,6378,-8472,-3056,-15020,2199,-18635,4603
-14832,-1020,-4876,-699,13051,5714,-9600,-2424,-1776,-22045,-17637,2173
-13968,6992,-12676,6054,-18511,-14222,0,0,0,0,0,0
-14380,1524,5696,17577,-6839,1550,-14736,-2112,-3776,-313,15743,-2265
-16148,-644,12416,2683,-12252,-5252,-25600,-2900,14664,6453,-1387,-3658
-20852,-8168,-10788,-9552,13685,-819,-32768,-4440,-17364,-9786,-19742,9747
-16136,-1716,-2804,-15580,15302,3144,-6856,-4004,-12548,6161,-18233,8626
-15440,-3344,-1520,-5779,15193,6536,1972,788,-16692,-13794,-6768,1620
-15064,-3800,736,-13355,20904,6055,-7964,-864,32767,-3566,-30885,-532
-31380,-5864,10616,-11457,-15342,-571,-27808,-12060,-28640,13364,21103,2762
-5884,780,-7416,14288,-11738,-1991,-12568,-1356,-1880,-2494,15765,-3180
-13272,-5908,8728,-22467,-4198,-3452,-25300,448,6760,8484,15492,-2740
-7608,-3392,-20036,-17390,8767,-2676,-25744,8380,-22268,-6378,-14490,7051
-17748,5436,-3604,-4209,15343,6252,-11992,-8656,-15308,-1388,-20857,10198
-15120,-4432,-72,-11939,15828,5767,4472,-420,-16300,-5213,-13105,483
-980,-284,-14552,8477,-7464,-1199,-13724,516,-1192,486,15245,-3331
-18604,380,32767,-14990,-12858,978,-19324,2308,7464,3451,20909,-811
-13668,-8548,-32768,5964,13867,-1768,-27996,12236,-19716,6189,-1968,3687
-17008,3132,-5244,-1851,13830,6292,-14576,-13468,-14528,2641,-19912,9512
-13908,-4048,632,-12031,14578,6530,-80,1520,-15364,6223,-9954,3517
-16468,-104,-4240,416,14993,7078,-19428,-9540,12296,-32768,-14639,-3955
-19516,3352,32767,-4834,-12439,1894,-17120,4208,4100,4608,18496,-1070
-28960,7688,-4016,-1428,19009,752,-29104,10744,1580,17511,-1369,1100
-16444,-684,-5872,3292,16144,1957,-30528,-13256,-20588,-7911,-16703,11982
-15244,-5688,-2672,-18535,17299,5981,2032,516,-15008,5338,-11371,6377
-11644,3604,2092,12593,-4087,3445,-13668,1496,-68,-3500,15358,-2696
-26156,17012,-192,-1241,-4171,5134,-20788,-920,19344,17846,-3145,-3393
-19380,-6716,-9876,-2286,14024,-801,-29540,-11048,-17960,-7211,-17695,9633
-16980,-3176,-3964,-15101,17108,5733,-2476,-7168,-13112,10010,-16751,7308
-16016,-1716,1600,-4007,14792,8387,1800,1076,-17932,-6814,-4580,3142
-7064,5248,-4628,12701,-10147,1943,-14456,-668,-3084,-4925,17574,-4159
-11968,-9244,-9060,-21180,-547,-8341,-27524,712,3836,5997,14223,-1145
-16352,-1564,-3388,-10467,15691,3940,11336,-10004,15452,0,0,0
-15908,-3028,128,-6372,14483,7014,2792,1252,-17360,-5119,-8782,2490
-16292,-1452,-2316,-5957,18042,7462,32767,-2736,32767,-31483,-32768,-6172
-22652,-716,13664,-24984,-2776,-5453,-26652,2424,2316,3253,19941,-3523
-3092,4996,-31692,-3870,3149,-4289,-28572,11388,-21256,5419,-10145,3444
-14120,-2612,-844,-8662,15318,7321,7728,-2184,-16644,2329,-12418,2691
-17272,696,-4108,-2053,17933,7575,-32768,-1004,32767,-32768,-29046,-3231
-25660,-13940,17796,-12676,-4002,1052,-32768,-13732,31044,-32768,-27852,656
-2544,2572,-9492,12616,-10300,-1771,-13808,-992,140,0,0,0
-30784,-7176,32767,15613,-18722,-3659,-16772,972,5980,7251,18417,-1679
-19176,17000,-16028,-62,17971,2681,-31576,2720,3716,11080,-5322,-590
-16064,3224,-2524,4804,13414,3846,-32076,-9784,-22056,-4859,-21557,14578
-15684,-1656,-508,-11872,13903,5605,4432,-3532,-11156,3287,-9858,3268
-14640,-2236,-1908,144,14132,6497,-4912,-2252,-14524,-19063,884,-2022
-26424,-4796,1792,-7849,14655,6638,-19952,-4076,-9140,31620,20013,-6588
-2656,3684,-9744,7132,-10319,-4524,-13992,2720,636,0,0,0
-10396,2108,724,12226,-7905,1309,-13684,-2704,-4840,-3191,14502,-3204
-23600,-2916,14260,-4554,-9032,-5470,-23640,-3356,21784,10301,-4859,-3719
-21204,-9112,-11776,-6738,11083,-1803,-32768,-3528,-18168,-10477,-17835,9524
-16060,-2664,-2788,-17288,13419,3349,-5324,-5128,-13484,-1382,-18742,7575
-14544,-4368,992,-10427,13460,5657,1300,-2980,-15828,-16383,-6006,1442
-11312,10352,-11128,1382,-19945,-13980,-14788,-3072,-3624,10137,15601,-4831
-3468,592,-11844,-2314,-8565,-2723,-14008,-1520,2020,-1378,10979,-3744
-32768,-16296,32767,32767,-22960,-201,-16828,804,2348,1288,9812,-3034
-29000,-4632,5216,16357,-6153,-1227,-27680,-728,8512,16674,-1863,-6012
-16016,3232,-3404,-2184,11195,380,-27128,-2744,-18296,-14275,-15963,13427
-15856,-3716,-24,-13312,9542,3200,-1148,-4876,-15240,-10404,-15382,5910
-6244,-2248,-10416,-2900,-12260,-2984,-14992,-164,-168,-1391,9001,-3397
-11140,-1424,7392,7657,-548,3777,-14408,-1704,-5228,481,9350,-3413
-12808,1476,3072,-6403,-794,-3053,-20720,-2488,11608,3646,-1121,-7910
-12128,-3064,-13476,-13918,9240,-3330,-25980,3840,-16420,-17445,-16458,8601
-17104,-668,-2748,-9431,10049,3327,-8584,-7400,-15380,-5154,-17624,8702
-2752,80,-11824,1271,-10252,-2159,-13224,-1168,-640,-760,11475,-3043
-29176,-16820,32767,27523,-19567,164,-17616,1612,2348,-4305,13357,-2136
-18236,3928,-7888,-14678,13301,5471,-25200,5272,5104,10535,342,183
-17132,680,-4668,13,11949,3515,-25608,-7292,-17716,-11484,-15767,10833
-14312,-5280,-908,-9590,12426,2954,-3364,-2764,-15656,-6192,-13349,6498
-14628,-1688,-824,-3525,12894,4625,-5272,-10164,-9864,-28776,-8207,-2449
-23688,-5876,-1860,-7300,11753,3285,-12604,2932,-3236,30130,8846,-1654
-26080,10264,-14844,-1947,-15799,-18434,-16468,-3192,-8312,0,0,0
-2996,2848,-9160,271,-14619,-6166,-13756,-108,-1420,0,0,0
-2676,-2064,-9912,-4456,-5217,-2315,-12404,-3228,-2528,-5282,10998,-2118
-12096,-328,12660,-18903,-495,2232,-20260,1224,8768,-4592,5708,-5115
-13820,-6820,-11628,-14438,3345,-1212,-24328,13548,-19392,-9423,-14901,7786
-17228,164,-3796,-10462,9954,3497,-14964,-4196,-18180,-14854,-21064,8989
-23632,8420,-17496,7502,-19528,-11800,-13432,-5156,-5492,0,0,0
-6348,384,-7636,-668,-7156,1407,-13692,-208,-5508,-7413,11499,-2212
-13304,-2832,21860,-15847,-8729,-505,-20760,1080,4304,-169,15809,-2403
-15476,-1708,-9864,-1151,12076,-1885,-25112,9780,-3872,3137,-3927,2068
-16876,1072,-3824,-5207,11342,4107,-19740,-10972,-17844,-5515,-18638,9790
-15528,-4340,-456,-6108,12644,5520,-3720,-804,-12628,304,-11594,3207
-15576,212,-6188,-815,12115,5633,-8192,-4708,328,-22264,-12495,-1486
-17096,7676,-14156,8908,-19704,-14811,-14316,-8948,-2084,0,0,0
-10744,1052,5708,12452,-6254,2206,-15408,-616,-6124,-3334,14226,-2653
-12092,2352,12440,-7633,-7216,1430,-23144,-1864,13644,14307,7625,-3289
-21172,-10008,-13148,-16608,11580,-2103,-26316,556,-20016,-11681,-16214,9951
-17608,-540,-3340,-6683,13235,3552,-9564,-13088,-13892,2728,-18093,7032
-19908,-10788,-7832,-1721,10546,-2279,-30376,-5280,-20000,-9096,-15087,10945
-16172,-20,-2752,-13355,13162,4311,-6776,-5616,-12232,4134,-17058,8305
-8472,-360,-6264,10595,-11245,-3694,-13828,1012,-2920,1541,12006,-2846
-13684,-2220,25784,-5261,-13592,807,-16552,1624,4876,6978,12117,-3390
-12816,1116,-14592,1459,13944,-3804,-25948,13840,-5496,14247,616,2884
-16700,732,-4776,-2150,12758,3183,-22564,-13308,-15412,-5842,-16560,10893
-13612,-6208,-13176,-11827,9247,-5043,-24180,5228,-20040,0,0,0
-16768,5312,-3004,-9191,12351,3803,-9856,-9596,-11884,2805,-17333,7164
-19752,9704,14100,26381,-4939,8983,-14764,-2576,-5352,-2605,12924,-3185
-19084,6444,4452,2401,-12387,1523,-19468,1664,18076,16630,-3000,-4238
-20312,-2404,-6720,-2795,11033,-2727,-29408,-4372,-16312,-8629,-14406,9088
-15720,-5236,-2272,-13664,12996,2590,-7780,-6968,-10216,5771,-16152,6245
-12480,-6460,9032,-7227,-5303,-2575,-18612,-2260,1588,5614,13903,-2524
-17376,2196,-3208,-3262,11968,4052,-22344,-13364,-16340,-4931,-17690,8989
-16864,-5248,-1276,-7690,11270,3684,516,-4364,-10000,420,-7427,3349
-14992,-644,-2880,-519,13175,5281,-8824,-1760,-4156,-13908,-16920,3628
-17776,-1804,-2036,-9027,16395,5678,-10512,1920,5056,0,0,0
-26040,2680,8428,19508,-14989,620,-19192,-1856,18000,20492,-4497,-6948
-17548,-3600,-6036,706,13398,967,-28632,-3808,-18264,-6591,-13832,9231
-14796,-7352,-1788,-11330,12642,3687,-7136,-1592,-13476,5399,-14015,8656
-15036,-4144,-1056,-5958,13493,5887,-3308,-1980,-13144,-12499,-7849,3541
-29192,-16032,14724,-11150,-5436,-210,-32768,-7716,21756,-32043,-19304,592
-4132,2608,-11916,9115,-9463,-2569,-14212,656,1304,2265,11550,-3993
-21704,-5252,26172,21148,-12468,2892,-14840,-720,-4012,1361,12040,-2944
-29936,14240,7588,13279,-8449,2329,-18860,4080,16332,18257,-3781,-4346
-19768,-5152,-8596,-3452,10886,-2180,-28716,-3748,-17040,-8501,-11906,7691
-15848,-4004,-2752,-8881,12845,3250,-7124,-4092,-12112,6358,-14649,8432
-15784,-3736,688,-8783,9849,4567,-8468,3396,-7632,-8454,-9527,6700
-11648,-2360,-3588,11588,-12323,-5126,-14268,-188,-1672,2649,10172,-1766
-17736,3348,-2560,-4795,10852,2308,-19836,-11428,-14508,-2179,-16129,8309
-16056,-3364,748,-5036,11530,2573,-6340,-2932,-12132,4077,-11304,5497
-15700,-1860,-2976,-2170,10653,4504,-11076,-3520,1320,-15312,-15964,1223
-29128,-144,7272,-8083,-4084,3271,-18008,-6052,-17496,0,0,0
-21292,4456,-14624,8805,-10233,-9216,-13744,-2060,-3848,-6355,9966,-538
-18468,-8276,17212,12794,-6073,62,-15284,1580,-1880,3201,3450,453
-20124,-10468,-11484,-3968,10250,-176,-29064,-2464,-15316,-6164,-10871,7717
-15812,-3796,-2480,-8501,11910,2487,-10108,-6216,-11692,1981,-14902,9034
-15580,-2660,-476,-7102,10324,4811,-5512,1160,-10916,-2175,-7663,3397
-16140,-1640,-3960,-1653,13249,5225,-12824,2076,12640,-19823,-10237,-186
-13476,1120,3236,10381,-6702,2181,-14636,240,-5244,272,11393,-2757
-14420,-7352,3820,-10925,-4514,-6459,-17328,-1136,5728,2723,7312,-3840
-17200,1768,-3724,-4839,11519,3712,-17104,-10184,-11252,-2321,-15452,7202
-15040,-1420,-356,-3988,10446,3394,-7232,-1500,-13404,5589,-8495,4844
-15804,-168,-4312,-563,13108,5635,-7928,-4344,716,-21497,-14608,1101
-20780,-5980,-5392,-6322,-9166,-1404,-6944,4420,-13584,0,0,0
-14460,436,7984,10245,-7720,3878,-14488,736,-3336,1955,9712,-2300
-17484,-4124,12484,-2005,-13000,-2886,-18956,-1256,9856,10738,759,-5616
-20876,-8632,-11020,-7866,9918,-3650,-24960,-252,-15544,5422,-7375,8236
-17516,3196,-2244,-6997,12421,2269,-11144,-8480,-10500,3598,-15355,8243
-14668,-1932,1396,-6725,11061,3870,-4064,372,-12296,2352,-9199,3485
-15712,-88,-5356,765,12571,5101,-13968,-7312,14208,-28219,-6445,-1956
-7364,1780,-8164,8128,-12383,-4339,-13428,-1552,-4256,0,0,0
-22924,-9196,30312,6686,-6731,-5580,-16460,-488,-392,4500,13861,-2116
-32668,5476,-5568,10560,-7148,4222,-26408,7592,17456,12852,-11125,-2859
