under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
12800,1916,9532,467,386,472,-11112,-6872,4108,-85,132,182
12640,2176,9732,-41,-152,-20,-11012,-7160,4208,-153,-148,187
12644,2088,9808,-468,-307,-368,-11056,-7136,3924,60,-57,73
12416,2236,10152,-1146,-1196,-1189,-11068,-6696,4768,947,1358,-374
12208,1764,10308,302,-503,-60,-11204,-6868,3716,-379,1440,279
13108,2472,8736,-761,-969,-981,-11904,-5872,6568,1250,3589,495
12708,1884,9728,-830,-3390,-199,-12476,-7516,4584,-744,5986,1260
12288,3124,9520,1986,458,2972,-11992,-7060,3148,1560,-693,1983
13104,2560,8656,369,-4476,1127,-10524,-6736,4284,643,-4097,1409
12908,1688,8536,859,-1813,1655,-9732,-4844,4456,-933,-3950,136
15708,1468,5516,4633,-1902,5035,-9044,-5700,7160,-2483,-4858,339
12532,2900,12992,1812,-2021,5274,-10156,-5892,10176,-2139,963,1597
11356,4996,16484,2069,-2124,1953,-10152,-10592,3976,6005,6744,2165
19688,8232,6236,-1283,-5234,-6435,-15524,-1244,1396,-80,13906,1810
21748,-440,-1920,-1222,5869,-10651,-12936,-6092,-892,-109,5318,228
11080,-1272,-3272,-1163,1851,-2873,-15120,-1768,2204,-4853,-1281,1860
11032,2492,548,-1403,-12345,-2567,-12512,-4520,1484,198,7198,-152
17212,8008,8980,-9079,1535,1130,-15860,-1868,9260,7247,427,-3628
18108,-11664,-1048,-4708,-1087,1828,-13292,-6392,14640,23809,-9231,-16123
12804,1380,3116,3822,8645,4462,-6748,-4324,-9712,11707,-11091,2353
13368,5824,18132,9439,4993,13286,-17700,-12,9364,-25412,16832,-11919
14896,10844,23500,2645,11958,4527,-7196,-12636,-13268,-22768,-10378,-4118
32732,-960,2100,-13223,-22550,-13840,-12916,-172,-4528,15229,32767,-2072
9528,1964,-7428,1361,798,-6428,-15276,32,4608,4069,-7750,-795
9300,200,-3268,-13898,-7627,-1113,-13276,-3212,3092,-8988,-7100,1108
12104,4264,1208,-5324,5408,-3192,-11428,-5152,13204,15760,10881,-9752
15344,-1860,2248,13042,25526,6205,-8484,-9608,-8440,19822,-5919,3451
13500,2068,6236,1947,-8461,8030,-6576,64,-9364,5500,13159,3564
14056,4728,14564,1916,3177,9044,-24176,-160,25864,13700,-681,8094
21420,-808,-3512,-11414,-26979,-13732,-12912,-5808,-2620,14715,20260,-2653
