under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
11896,-1284,10648,420,44,20,-14136,852,-7744,207,-4,-543
11940,-1248,10648,605,-37,994,-13904,472,-7808,-14,202,160
12160,-1340,10484,517,-130,1000,-14056,628,-7736,47,161,61
11864,-1608,10712,340,-59,720,-14088,700,-7656,18,118,53
12024,-1720,10596,-372,416,-310,-14044,516,-7652,-27,180,202
12016,-1548,10576,13,85,-131,-14108,608,-7680,-7,101,105
11784,-1572,11016,236,-216,333,-14032,736,-7652,-3,144,193
11920,-1568,10640,-31,253,-134,-14072,520,-7700,18,159,54
12012,-1424,10508,-210,291,-53,-13948,708,-7552,12,230,157
11856,-1496,10816,920,-400,1360,-14120,572,-7648,20,150,102
11912,-1632,10840,616,-227,792,-14068,596,-7676,38,160,84
11892,-1272,10556,19,396,314,-13956,628,-7740,49,170,33
11928,-1660,10972,1079,-683,1198,-13976,832,-7920,574,-218,-1508
12012,-1676,10532,83,-169,-289,-14064,548,-7688,-45,161,220
11748,-1100,10960,-24,-223,509,-14544,440,-7812,244,119,-30
11700,-1128,10928,-117,293,-763,-13808,392,-7872,-119,165,360
11748,-1024,10900,374,161,530,-14140,608,-7928,7,159,49
11824,-1124,10812,213,-110,56,-14020,640,-7868,-64,185,130
11656,-784,11568,-651,-1147,-1885,-14908,248,-8712,-841,324,1868
11000,-532,9296,148,-1808,4887,-14016,544,-7940,-16,132,65
11208,-660,10428,-55,195,-881,-13872,860,-7760,188,37,-45
12028,-1180,10704,736,-176,902,-13856,576,-7668,62,162,2
11612,-1232,10684,314,149,-95,-14012,480,-7800,-3,198,61
12156,-1468,10920,849,726,-879,-13928,632,-7752,26,166,4
11932,-1112,10692,75,-22,-181,-14040,568,-7804,37,127,81
11988,-1084,10692,193,-41,42,-13956,592,-7756,51,115,10
11960,-1232,10852,76,-78,19,-14048,564,-7792,14,150,63
11608,-1152,10212,1124,-584,1783,-13976,552,-7672,55,118,-8
12424,-1188,11004,-175,167,2065,-13924,612,-7804,110,185,173
12264,-1568,10492,-196,978,-1619,-14128,632,-7752,103,181,93
11908,-1348,10500,267,33,-1241,-13752,524,-7596,-146,162,-151
12244,-1048,10848,-842,299,81,-13980,420,-7844,-26,213,-27
11060,-396,11068,0,0,0,-14304,396,-7884,17,197,123
9076,248,8728,-2666,105,-1185,-14648,628,-7492,894,665,-1534
