under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
11704,-1748,10840,-93,86,-574,-14040,608,-7956,-42,157,-3
11896,-1460,10560,240,-393,317,-14084,556,-7552,49,213,96
12016,-1480,10464,247,290,497,-14076,676,-7892,27,215,30
11788,-1644,9312,1503,61,-270,-14076,128,-7892,29,-25,-357
12020,-1748,11020,-1050,1123,-551,-13924,608,-7788,128,24,204
11716,-1832,10828,-16,521,228,-14128,524,-7800,-17,212,-14
11212,-1848,11024,176,898,51,-14088,232,-7900,-64,140,165
11912,-1476,10628,-965,1307,-1434,-14016,640,-7860,24,95,142
11548,-1704,11016,910,-1110,1025,-14064,464,-7836,-29,181,91
11456,-1572,11096,52,-391,-175,-14064,612,-7952,11,145,108
11728,-1784,10880,372,-497,432,-14004,400,-7828,20,170,91
11524,-1508,10952,76,323,158,-14144,616,-7860,16,138,45
12080,-1652,10432,881,-651,1211,-14040,520,-7828,-17,139,82
11492,-1776,10168,226,-1946,651,-13992,680,-7752,55,154,128
11952,-1664,10560,-514,534,-1170,-14016,420,-7716,0,146,67
11872,-1720,10660,554,417,1003,-14064,504,-7764,11,142,62
12176,-1516,10432,-71,1066,-101,-13988,392,-7776,2,165,126
12040,-1456,10532,483,51,793,-13972,652,-7708,-3,164,26
11640,-1704,10988,425,504,699,-13916,516,-7840,0,167,92
13116,-904,11632,-93,607,-801,-14028,628,-7812,-25,178,153
11552,-1732,11004,117,194,30,-14040,692,-7816,30,138,37
11632,-1764,10988,467,-444,530,-13992,528,-7836,14,141,133
11692,-1772,10956,160,-544,-118,-13912,512,-7888,23,162,61
11792,-1636,10868,-332,309,-742,-14116,556,-7884,43,171,95
11864,-1588,10720,683,-740,707,-13964,580,-7844,24,147,38
11780,-1624,10792,244,-79,78,-13948,612,-7828,0,136,0
11992,-1676,10688,-197,41,-84,-14016,440,-7832,26,157,39
11856,-1612,10672,-280,499,-529,-13980,548,-7904,19,141,73
12068,-1576,10616,102,107,121,-14020,504,-7900,21,126,78
11604,-1696,10992,-269,418,-465,-13904,484,-7772,26,102,57
11880,-1580,10700,940,28,1405,-14076,536,-7892,-5,131,31
11872,-1572,10516,-81,150,-131,-13928,688,-7820,47,181,-10
11868,-1560,10796,51,174,-1,-13904,744,-7704,41,141,87
11796,-1648,10868,274,-172,333,-13896,244,-7916,29,190,-5
11660,-1672,10808,647,-62,994,-13944,552,-7788,12,144,104
11784,-1596,10672,550,120,931,-14132,652,-7812,17,134,168
11956,-1672,10768,331,-192,260,-13984,580,-7776,-22,121,88
11732,-1660,10896,-38,-63,-281,-14052,460,-7880,9,133,105
11860,-1680,10752,282,21,245,-14072,552,-7772,18,145,69
11860,-1608,10672,203,62,164,-14076,456,-7808,3,158,57
11800,-1640,10816,234,49,322,-14044,600,-7816,11,126,93
11872,-1644,10744,-24,134,-221,-13856,376,-7788,29,125,68
11772,-1640,10792,728,-66,1084,-14084,660,-7720,28,155,139
11880,-1668,10680,-86,120,-352,-13924,424,-7828,1,133,35
11804,-1688,10768,217,-128,166,-14040,600,-7792,39,169,64
11888,-1696,10744,180,-125,102,-13864,472,-7728,-27,160,140
11804,-1576,10876,-69,237,-271,-14080,536,-7820,33,146,45
