under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
17492,10300,19896,-12922,32767,-32768,-16720,-5424,-5960,0,0,0
12172,-1180,7424,32767,-7005,32767,-13832,256,1020,4331,15962,-5282
13140,-452,12636,-1222,-26066,-5681,-14108,-1752,-1352,2227,8846,-2636
4580,-2336,6116,32767,16465,32767,-14028,-2396,21272,10541,1274,-6476
-6948,-6872,2960,-2272,-29076,-12606,4056,-2056,-14528,-14039,-6264,-1859
13200,980,14860,-32768,15116,-32768,-18748,-5580,17432,2384,-6500,-6078
5704,-128,1620,-31695,23350,-21136,-32768,-7448,-19996,32767,13939,8044
10800,-1340,13004,0,0,0,-19864,-1912,-10136,-1210,8947,-1508
8240,4292,4724,20527,-15216,32767,-13232,-1420,-800,-5310,14199,-5440
10960,3820,9908,32767,-14038,32767,-10552,-3660,3300,-4209,8138,-6543
13828,16304,16464,-19989,-10536,-32768,-15900,3256,16752,-11410,6859,-6427
15652,4672,12408,16779,-1729,-20184,-32768,1992,-24824,-17450,-13355,8385
23776,15748,29572,24774,32767,-101,-8716,-4244,-18524,-15825,-14732,7420
14720,-1388,10776,32767,-13977,21318,-3772,-7540,-10300,-22561,-7849,-2507
6216,-1104,9880,32767,-2580,29051,-13220,220,20240,32066,-10676,19426
2076,-1108,20144,32767,32767,32767,-23892,-32768,32767,-32768,13126,-9901
19800,23400,32767,-32768,-32768,-32768,-11824,-4844,-6108,-4317,15834,-2065
7272,-8800,4952,13652,-15162,32767,-13000,-3636,2916,-2991,11089,-2557
10076,7392,11092,-31215,-27694,-32768,-20508,-364,4240,8988,15428,-2764
7344,6920,10168,0,0,0,-16968,-22740,-11180,7768,-16143,11226
26388,12940,32767,-1559,-3925,32767,-27528,-3696,-32768,11465,28380,15202
4184,4304,8800,-28962,1977,-32768,-12952,-428,-8920,4765,8389,-1237
11816,13844,7516,-5860,31982,-11175,-12672,120,-532,5738,18062,-3280
11096,7020,2724,-4029,-10167,-14798,-13884,920,5256,-90,14713,-1587
16080,4208,14056,27928,19844,6851,-26336,-724,4800,13684,6391,-3150
20348,-136,27296,20413,1471,32767,-32768,-9160,-23924,5795,-20749,8258
1872,3120,3664,0,0,0,-5084,-6004,-11836,2414,-15128,5638
9432,-184,6268,-5192,13210,6346,3248,-332,-16792,-22479,-2865,-1656
14196,6356,13596,-7781,28652,-5965,-8932,-17600,6480,3224,3319,-15227
12600,-2736,9692,-16712,-12359,-21171,-11532,9424,-22744,0,0,0
