under_body2_AX,under_body2_AY,under_body2_AZ,under_body2_GX,under_body2_GY,under_body2_GZ,under_body3_AX,under_body3_AY,under_body3_AZ,under_body3_GX,under_body3_GY,under_body3_GZ
-6208,-2168,-6344,11624,-14064,-2081,-12764,-1728,2792,-940,10178,-3096
-17692,-472,18528,9750,-6710,4998,-17704,432,1548,250,12550,-3536
-32768,2812,22788,8802,-13579,-1386,-16708,4124,12100,16212,-11601,-5685
-18940,-4968,-5184,2191,12130,-930,-21892,-8360,-16564,-748,-12487,10739
-16368,-3008,-2188,-5510,14593,4442,-8320,-7524,-11276,6921,-13360,12240
-14940,-2504,696,-7756,12178,4999,-9056,3776,-3436,-14222,-10783,9949
-17428,-2656,-4444,-7663,19117,6411,-16992,-2096,21892,-22504,-12384,-1762
-6444,2444,-10056,12302,-11622,-4068,-12840,-2196,1732,-1514,12654,-2561
-19428,-7536,25484,20632,-8157,628,-14660,-864,-4012,2519,15222,-2039
-32768,8708,19744,17512,-17871,-794,-23152,4268,15884,17503,-7210,-4124
-19288,-10304,-8128,-217,12213,110,-28512,-9912,-15908,-5623,-13904,8867
-15916,-3584,-1796,-5407,14293,5610,-8196,-7024,-11840,15994,-14482,12342
-15604,-3500,-1008,-7351,12183,7630,-2460,4412,-16048,-4055,-3111,6028
-16464,-2708,3512,-105,16666,7897,-2288,-7192,32767,-5280,-7216,-1601
-7472,1716,-7496,14276,-12348,-3823,-13072,724,3172,1937,11891,-3294
-22444,-3828,31072,12985,-5495,-1059,-16808,1832,-648,4394,15041,-2866
-16688,3908,-7704,5457,10734,1733,-24188,-4352,7320,8883,-1628,-2942
-17820,1324,-4752,-1374,12427,5139,-16844,-10824,-10524,5004,-12272,9905
-15928,244,-1604,-5062,13887,6635,-8272,-1704,-12716,11302,-11230,9207
-16492,712,-1868,-3932,12187,6840,-4012,3676,-11920,-12212,-7765,6730
-18356,-6204,5724,-1120,15225,8159,-7240,4636,9900,8703,105,-3292
-22116,-18580,-9732,-7853,-4636,-5532,-4292,-1728,-18268,0,0,0
-27140,12036,-16580,17060,-14868,-11990,-14120,-3536,-4208,0,0,0
-12168,-1612,4060,20507,-12655,-1185,-13708,388,-2848,-988,13435,-4420
-18256,-1964,9920,-16118,-8569,-2446,-21592,-3892,17668,12263,-835,-6354
-20004,-6112,-10656,-9563,9254,-3362,-30320,-2956,-17576,-2743,-12554,10936
-17460,-3964,-3188,-11099,12417,3191,-9088,-7736,-12564,3442,-14572,9863
-15460,-3628,-188,-6846,11980,3941,-5008,328,-9556,0,0,0
